cell	scenario	replicate	seed	target_rho	reference_rho	analysis_samples	reference_samples	blocks	variants_per_block	binary_sha256	realized_causal_pair_ld	factor_nA	factor_nB	factor_cross_set_max_r2	factor_beta1	factor_beta2	factor_conjunction_p	factor_min_log_BF	factor_log_e_mediation	factor_log_BF_heterogeneity_MY	regional_PP_shared	regional_PP_distinct	regional_independent_shared_signals	mediation_identifiability	factor_two_stage_status	factor_mediation_status	factor_frequentist_status	factor_ebh_status
mismatch_high_to_moderate	same_variant_pleiotropy	60	22460964	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.661702	0.472214	0.938606	1.180386	-1.716887	-2.341439	0.912108	0.084012	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	61	22460965	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	11.0	0.0	nan	0.548071	0.629666	0.729442	-1.541148	-2.001877	0.999916	2.5e-05	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	62	22460966	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	6.0	0.0	0.749128	0.857897	0.194011	2.655679	-0.407034	-1.939539	0.999993	6e-06	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	TWO_STAGE_EVIDENCE	SUPPORTED_EXCLUSION_RESTRICTION_CONDITIONAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	63	22460967	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	7.0	0.0	0.659462	0.503795	0.062174	2.437752	0.656699	-2.070826	0.0	0.0	0.0	UNRESOLVED_NO_OUTCOME_SIGNAL	TWO_STAGE_EVIDENCE	UNRESOLVED_REGIONAL_CONFIGURATION	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	64	22460968	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	5.0	7.0	0.0	0.74028	0.520262	0.42096	1.794994	-1.155836	-2.034104	0.999023	0.00047	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	65	22460969	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	7.0	0.0	0.632074	0.696483	0.108139	1.722208	0.221671	-1.720824	0.998963	0.000768	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	66	22460970	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	1.062061	0.560176	0.020304	2.905659	1.989736	-2.404346	0.917893	0.013488	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	TWO_STAGE_EVIDENCE	UNRESOLVED_SINGLE_SHARED_SIGNAL	UNRESOLVED_SINGLE_SHARED_SIGNAL	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	67	22460971	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	9.0	0.0	nan	0.587294	0.364552	2.15136	-1.07754	-2.425619	0.0	0.0	0.0	UNRESOLVED_NO_OUTCOME_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	68	22460972	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	9.0	0.0	nan	0.564651	0.902617	1.677195	-1.709915	-2.205119	0.814028	0.026138	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	69	22460973	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	0.9999999999999999	6.0	6.0	0.0	0.74033	0.690801	0.060871	2.474559	0.790624	-1.953436	0.999952	4.6e-05	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	TWO_STAGE_EVIDENCE	SUPPORTED_EXCLUSION_RESTRICTION_CONDITIONAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	70	22460974	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	9.0	0.0	nan	0.524723	0.464521	0.582597	-1.304039	-2.226076	0.969613	0.006786	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	71	22460975	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.524724	0.80459	0.471897	1.613776	-1.317774	-2.205231	0.999997	2e-06	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	72	22460976	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	9.0	0.0	0.465451	0.672619	0.896089	0.93386	-1.708305	-2.424785	0.997948	0.00166	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
