cell	method	threshold	replicates	mean_selected	mean_true_positive	mean_false_positive	mean_fdp	se_mean_fdp	q95_fdp	fdp_above_target_rate	pooled_fdp	mean_power	replicates_with_calls
dense_cross_protein_dependence	balanced_AdaFilter	0.1	200	46.09	42.57	3.52	0.0734954	0.00274962	0.130492	0.225	0.0763723	0.847093	200
dense_cross_protein_dependence	balanced_BY	0.01	200	0.01	0.01	0	0	0	0	0	0	0.000178628	2
dense_cross_protein_dependence	balanced_BY	0.05	200	0.425	0.425	0	0	0	0	0	0	0.00835419	27
dense_cross_protein_dependence	balanced_BY	0.1	200	4.395	4.385	0.01	0.000592949	0.000436493	0	0	0.00227531	0.084339	93
dense_cross_protein_dependence	balanced_p2e_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	balanced_p2e_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	balanced_p2e_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	bayesian_FDR	0.01	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	bayesian_FDR	0.05	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	bayesian_FDR	0.1	200	0.015	0.015	0	0	0	0	0	0	0.000333333	1
dense_cross_protein_dependence	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	adaptive_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	adaptive_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	adaptive_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	balanced_AdaFilter	0.01	200	29.73	22.275	7.455	0.237093	0.00687038	0.392857	0.965	0.250757	0.44204	200
directional_pleiotropy	balanced_AdaFilter	0.05	200	110.22	46.32	63.9	0.578588	0.00354375	0.656877	1	0.57975	0.927009	200
directional_pleiotropy	balanced_AdaFilter	0.1	200	145.125	49.055	96.07	0.661853	0.00292696	0.726728	1	0.661981	0.982411	200
directional_pleiotropy	balanced_BY	0.01	200	0.07	0.06	0.01	0.00666667	0.00526251	0	0.01	0.142857	0.001191	10
directional_pleiotropy	balanced_BY	0.05	200	9.52	8.215	1.305	0.0895383	0.0081498	0.307692	0.495	0.13708	0.159879	159
directional_pleiotropy	balanced_BY	0.1	200	40.3	27.825	12.475	0.292774	0.00680425	0.425016	0.97	0.309553	0.551583	199
directional_pleiotropy	balanced_p2e_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	balanced_p2e_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	balanced_p2e_eBH	0.1	200	0.035	0.035	0	0	0	0	0	0	0.000700378	6
directional_pleiotropy	bayesian_FDR	0.01	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	bayesian_FDR	0.05	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	bayesian_FDR	0.1	200	0.11	0.105	0.005	0.005	0.005	0	0.005	0.0454545	0.00209813	17
directional_pleiotropy	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
directional_pleiotropy	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
global_null	adaptive_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
global_null	adaptive_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
global_null	adaptive_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_AdaFilter	0.01	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_AdaFilter	0.05	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_AdaFilter	0.1	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_p2e_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_p2e_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
global_null	balanced_p2e_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
global_null	bayesian_FDR	0.01	200	0	0	0	0	0	0	0	0	0	0
global_null	bayesian_FDR	0.05	200	0	0	0	0	0	0	0	0	0	0
global_null	bayesian_FDR	0.1	200	0	0	0	0	0	0	0	0	0	0
global_null	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
global_null	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
global_null	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
global_null	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
global_null	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
global_null	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	adaptive_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	adaptive_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	adaptive_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
least_favorable_null	balanced_AdaFilter	0.01	200	0.015	0	0.015	0.015	0.00861663	0	0.015	1	0	3
